plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,63,3,7,42.9,21,1,0,31,114.9,10,Titans,2018,554,41,87,6,1,8,0.06896551724137931,47,0.011494252873563218,6.367816091954023,13.5,69.2,6,0.8563218390804597,0.8419540229885059,1.3793103448275863,2.0876436781609193,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR #88,#88 Caroline Rose,#88,Caroline Rose,17,6,17,35.3,2.8,0,1,10,19.5,1,Lightning,2018,17,6,17,0,1,1,0,35,0.058823529411764705,1,2.8,17,0,0.2647058823529413,0,0,0.9044117647058825,19.5,#88,Caroline Rose,0,3,0,2,0,1,0,3,0,0,0,0,0
CR #88,#88 Caroline Rose,#88,Caroline Rose,83,7,17,41.2,11.9,0,3,34,17.2,3,Lightning,2018,100,13,34,0,4,2,0,38,0.11764705882352941,2.9411764705882355,7.7,50,0,0.4117647058823529,0,0,0,6.9,#88,Caroline Rose,10,4,2.5,7,0,3,10,7,0,0,1.4,5,2.5
CR #88,#88 Caroline Rose,#88,Caroline Rose,39,6,16,37.5,6.5,0,2,19,6.2,4,Lightning,2018,139,19,50,0,6,3,0,38,0.12,2.78,7.3,46.3,0,0.4,0,0,0,6.7,#88,Caroline Rose,2,7,0.3,7,1,4,12,14,1,0.07142857142857142,0.9,4,0.3
CR #88,#88 Caroline Rose,#88,Caroline Rose,41,3,12,25,13.7,0,2,31,1.7,6,Lightning,2018,180,22,62,0,8,4,0,35,0.12903225806451613,2.903225806451613,8.2,45,0,0.2741935483870968,0,0,0,4.6,#88,Caroline Rose,79,11,7.2,24,0,6,91,25,1,0.04,3.6,22.8,7.2
CF #4,#4 Catrina Fincher,#4,Catrina Fincher,140,9,15,60,15.6,1,0,NA,113.2,6,Fire,2018,140,9,15,1,0,1,0.06666666666666667,60,0,9.333333333333334,15.6,140,0.06666666666666667,1.5,1.5833333333333335,1.3333333333333335,2.375,113.2,#4,Catrina Fincher,10,2,5,NA,1,2,10,2,1,0.5,5,10,5
CF #4,#4 Catrina Fincher,#4,Catrina Fincher,144,8,13,61.5,18,2,0,NA,139.1,7,Fire,2018,284,17,28,3,0,2,0.10714285714285714,61,0,10.142857142857142,16.7,142,0.10714285714285714,1.5357142857142856,1.7857142857142856,2.142857142857143,2.375,130.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF #4,#4 Catrina Fincher,#4,Catrina Fincher,174,10,16,62.5,17.4,2,0,NA,139.1,8,Fire,2018,458,27,44,5,0,3,0.11363636363636363,61,0,10.409090909090908,17,152.7,0.11363636363636363,1.5681818181818183,1.852272727272727,2.272727272727273,2.375,134.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF #4,#4 Catrina Fincher,#4,Catrina Fincher,236,16,24,66.7,14.8,4,0,NA,138.2,9,Fire,2018,694,43,68,9,0,4,0.1323529411764706,63,0,10.205882352941176,16.1,173.5,0.1323529411764706,1.661764705882353,1.801470588235294,2.375,2.375,136.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH #6,#6 Chandice Hunter,#6,Chandice Hunter,140,7,11,63.6,20,4,0,40,146.8,1,Anarchy,2018,140,7,11,4,0,1,0.36363636363636365,64,0,12.727272727272727,20,140,0.36363636363636365,1.6818181818181817,2.375,2.375,2.375,146.8,#6,Chandice Hunter,2,1,2,NA,1,1,2,1,1,1,2,2,2
